cartodb_id,the_geom,the_geom_webmercator,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
32483,0101000020E610000098C0ADBB792A05C03563D17476222040,0101000020110F00004790E1B7E9F911C12ADAEDDB4D7F2B41,8.06731,-2.64574,332.2,0.6,0.5,10/9/2017,1300,N,nominal,1.0NRT,292.6,4.2,D
32484,0101000020E610000076FD82DDB02D05C0514EB4AB90222040,0101000020110F0000570400CEA4FC11C11A75FBD47A7F2B41,8.06751,-2.64731,336.3,0.6,0.5,10/9/2017,1300,N,nominal,1.0NRT,292.8,5.8,D
52334,0101000020E6100000C47762D68BE113C08A3C49BA66B21E40,0101000020110F0000951EE79F8DE220C14F1C083930262A41,7.67422,-4.97026,308.2,0.5,0.4,10/10/2017,136,N,nominal,1.0NRT,290.8,1,N
52346,0101000020E61000008DEE2076A6D012C094F6065F98AC1A40,0101000020110F00001ACD0BAC90F51FC18DE1B189AAB42641,6.66855,-4.70376,310,0.4,0.4,10/10/2017,136,N,nominal,1.0NRT,290.6,1,N
89250,0101000020E61000000586AC6EF5FC14C057957D57043F1840,0101000020110F000032C0616A41D321C1224F41917BA12441,6.06154,-5.24703,338.7,0.4,0.6,10/10/2017,1418,N,nominal,1.0NRT,290.8,4.6,D
145132,0101000020E610000018B2BAD573B217C08A592F8672022040,0101000020110F000072627F703D2024C1B6D3692E62482B41,8.00478,-5.92427,340.6,0.4,0.5,10/11/2017,1400,N,nominal,1.0NRT,295.5,4.7,D
145133,0101000020E61000003333333333B317C018096D3997022040,0101000020110F0000C93D45F7DF2024C146BE3422A1482B41,8.00506,-5.925,340.9,0.4,0.5,10/11/2017,1400,N,nominal,1.0NRT,295.2,4.5,D
145134,0101000020E6100000DA5548F9495517C0FE43FAEDEB502040,0101000020110F00003FB3B1BE1DD123C1E626635704CF2B41,8.15805,-5.83329,340.9,0.4,0.5,10/11/2017,1400,N,nominal,1.0NRT,296.4,3.7,D
145140,0101000020E6100000BA83D899426711C0AA8251499D302340,0101000020110F0000B9DD5C2CB58F1DC15680DE8FEC5F3041,9.59495,-4.35084,330.5,0.5,0.5,10/11/2017,1400,N,nominal,1.0NRT,295.3,3.7,D
145142,0101000020E61000006A183E22A6C40CC0CB67791EDC9D2340,0101000020110F0000B4980C76CC6E18C14E090E6F0DBE3041,9.80832,-3.59602,341.2,0.6,0.5,10/11/2017,1400,N,nominal,1.0NRT,294.4,8.5,D
145143,0101000020E6100000377172BF43D10CC039454772F99F2340,0101000020110F0000D504965F837918C177968701E0BF3041,9.81245,-3.60218,337.8,0.6,0.5,10/11/2017,1400,N,nominal,1.0NRT,293.1,9.8,D
145144,0101000020E610000045813E9127C90CC0B1E1E995B29C2340,0101000020110F0000B51A9912A07218C1AD69B5FD0CBD3041,9.80605,-3.59822,345.2,0.6,0.5,10/11/2017,1400,N,nominal,1.0NRT,296.1,6,D
145145,0101000020E6100000EDD3F19881CA0CC03A58FFE7309F2340,0101000020110F0000D341C3F4C57318C164E7B02833BF3041,9.81092,-3.59888,333.2,0.6,0.5,10/11/2017,1400,N,nominal,1.0NRT,293.9,6,D
145146,0101000020E6100000BD00FBE8D4D50CC05721E527D59E2340,0101000020110F000002A0DE57647D18C122463114E4BE3041,9.81022,-3.60441,333.5,0.6,0.5,10/11/2017,1400,N,nominal,1.0NRT,294.1,6,D
197280,0101000020E6100000971C774A07AB0EC07BA01518B25A1A40,0101000020110F00006A6D4C86E10B1AC15981CB09A46E2641,6.58857,-3.83351,334.8,0.4,0.4,10/12/2017,1342,N,nominal,1.0NRT,296.1,4.4,D
197281,0101000020E61000005F46B1DCD2AA0EC0CCD1E3F7365D1A40,0101000020110F00007EC42EFFB40B1AC14FAF695FCB702641,6.59103,-3.83341,333.7,0.4,0.4,10/12/2017,1342,N,nominal,1.0NRT,295.9,4,D
197282,0101000020E6100000E370E65773800FC0E0675C3810321B40,0101000020110F000004F1EEF023C11AC1540A62E0CE262741,6.79889,-3.93772,332.5,0.4,0.4,10/12/2017,1342,N,nominal,1.0NRT,291.3,2.8,D
197283,0101000020E610000063B48EAA26880FC0C45A7C0A80311B40,0101000020110F00007C89B02FAEC71AC15835D48E53262741,6.79834,-3.94148,331.4,0.4,0.4,10/12/2017,1342,N,nominal,1.0NRT,295.4,2.8,D
197284,0101000020E6100000D8D825AAB72613C0ADC090D5ADDE1C40,0101000020110F0000F7487624E14320C13AC49A9392952841,7.21746,-4.78781,331.7,0.4,0.4,10/12/2017,1342,N,nominal,1.0NRT,291.8,1.6,D
197285,0101000020E6100000F163CC5D4BC815C0B1169F02603C1E40,0101000020110F000078898FD6F27F22C110D7CC6D0EC12941,7.55896,-5.4456,331.1,0.4,0.4,10/12/2017,1342,N,nominal,1.0NRT,294.5,2.1,D
197287,0101000020E6100000145CACA8C19418C0D2C6116BF1C91E40,0101000020110F0000FC1385A770E024C1ECC659175D3A2A41,7.69721,-6.14527,334.7,0.4,0.4,10/12/2017,1342,N,nominal,1.0NRT,295.4,3.7,D
197288,0101000020E6100000CC457C27663D1DC004E275FD829D2040,0101000020110F00008735C20C5AD528C1D93A9EB777522C41,8.30764,-7.30996,334.8,0.4,0.4,10/12/2017,1342,N,nominal,1.0NRT,297.5,3.9,D
197295,0101000020E61000007E5704FF5B091CC0D8D825AAB7462240,0101000020110F0000570799CABBCF27C136738F4F2E2D2F41,9.13812,-7.00914,334.1,0.4,0.4,10/12/2017,1342,N,nominal,1.0NRT,301.2,2.8,D
247924,0101000020E6100000B537F8C264EA0AC0B01BB62DCAAC2040,0101000020110F0000E367757103DC16C1CCB625F9B16C2C41,8.33748,-3.36445,331,0.4,0.4,10/13/2017,1324,N,nominal,1.0NRT,296.2,2.4,D
266489,0101000020E6100000C47762D68BE113C0158C4AEA04B41E40,0101000020110F0000951EE79F8DE220C10548132C93272A41,7.6758,-4.97026,301.2,0.5,0.4,10/14/2017,200,N,nominal,1.0NRT,286.7,0.7,N
