cartodb_id,the_geom,the_geom_webmercator,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,_feature_count
65797,0101000020E6100000B8CCE9B298B816C0DB85E63A8D141A40,0101000020110F0000A6DA2687094C23C13E32FFEEAC322641,6.52007,-5.68027,335.9,0.5,0.5,2017-10-16,1406,N,nominal,1.0NRT,294.1,4.2,D,1
65798,0101000020E61000002367614F3BFC16C0B24B546F0D8C2040,0101000020110F00004BE329D57A8523C16524BD8C7F342C41,8.27354,-5.74632,330.9,0.5,0.5,2017-10-16,1406,N,nominal,1.0NRT,296.3,2.8,D,1
162198,0101000020E61000001973D712F22114C035B56CAD2F121940,0101000020110F00007955E2633F1921C1857CE53DDF552541,6.26776,-5.03315,334.1,0.4,0.4,2017-10-17,1348,N,nominal,1.0NRT,296.4,3.3,D,1
162199,0101000020E6100000A4AA09A2EE0314C0FF78AF5A99901B40,0101000020110F00009A8A74D7C1FF20C1E1D3E677AC772741,6.89121,-5.00384,331.1,0.4,0.4,2017-10-17,1348,N,nominal,1.0NRT,295.2,2.3,D,1
162207,0101000020E61000006DC5FEB27BB215C07EA99F3715491E40,0101000020110F000032CEB8A06C6D22C1CCB9A2A3F1CB2941,7.57137,-5.4243,345.6,0.4,0.4,2017-10-17,1348,N,nominal,1.0NRT,296.8,10.2,D,1
162208,0101000020E6100000170E846401B315C0226C787AA54C1E40,0101000020110F00001CA3772CDE6D22C1A012893DFFCE2941,7.57485,-5.42481,339.2,0.4,0.4,2017-10-17,1348,N,nominal,1.0NRT,296.1,4.3,D,1
162217,0101000020E6100000B3EF8AE07F2B0EC078978BF84E9C2040,0101000020110F0000FCAFDA10929F19C13E1D04F866502C41,8.30529,-3.77124,333.3,0.5,0.4,2017-10-17,1348,N,nominal,1.0NRT,297.5,5.3,D,1
162218,0101000020E61000002EAD86C43DD616C0D0B87020240B2040,0101000020110F0000400F2CED366523C118122BDE4B572B41,8.02176,-5.70922,333.7,0.4,0.4,2017-10-17,1348,N,nominal,1.0NRT,300,3,D,1
162220,0101000020E61000006F0D6C9560711EC043739D465AAA1F40,0101000020110F0000BC4A2FF3EADA29C1638F2FE5BCFA2A41,7.91636,-7.61072,333.4,0.4,0.4,2017-10-17,1348,N,nominal,1.0NRT,299.2,5.9,D,1
162224,0101000020E610000009FEB7921D5B20C077F86BB2469D2040,0101000020110F0000303A94AF3CC82BC1D4D6A13710522C41,8.30718,-8.17796,336.9,0.4,0.4,2017-10-17,1348,N,nominal,1.0NRT,302,3.5,D,1
162225,0101000020E610000052B81E85EBD111C0CD237F30F0CC2140,0101000020110F0000F68C7053E1441EC12FAE5DA7BC5B2E41,8.90027,-4.455,330.3,0.5,0.4,2017-10-17,1348,N,nominal,1.0NRT,301.1,2.3,D,1
162227,0101000020E610000092CB7F48BF1D1CC065DF15C1FF862140,0101000020110F0000B8D394880CE127C1DB66AF3A83E32D41,8.76367,-7.02905,333.2,0.4,0.4,2017-10-17,1348,N,nominal,1.0NRT,302.3,2.1,D,1
162233,0101000020E6100000637AC2120F4815C0A4C7EF6DFA732240,0101000020110F0000FEAB2AC2091322C1B44DD3130F7B2F41,9.22652,-5.32037,335.6,0.4,0.4,2017-10-17,1348,N,nominal,1.0NRT,302.3,2.3,D,1
162242,0101000020E61000004968CBB914D70CC02B8716D9CE972340,0101000020110F000091F279F6737E18C11E91A624D6B83041,9.7965,-3.60502,347.7,0.6,0.4,2017-10-17,1348,N,nominal,1.0NRT,307.8,10.1,D,1
162243,0101000020E6100000F146E6913FD80CC07D7901F6D1992340,0101000020110F00005CCE6FC5717F18C1356CE61A92BA3041,9.80043,-3.60559,355.4,0.6,0.4,2017-10-17,1348,N,nominal,1.0NRT,310.3,10.1,D,1
162244,0101000020E6100000FB912232ACE20CC00CEA5BE674992340,0101000020110F000077126F3C4C8818C1E02CD8E541BA3041,9.79972,-3.61068,335.3,0.6,0.4,2017-10-17,1348,N,nominal,1.0NRT,305.4,10.1,D,1
162251,0101000020E6100000637FD93D79181DC0B9AAECBB22E82240,0101000020110F000002692BB0FDB528C1124A54EB81213041,9.45339,-7.2739,333.2,0.4,0.4,2017-10-17,1348,N,nominal,1.0NRT,301.9,2,D,1
162254,0101000020E6100000A06CCA15DEC518C0F6D1A92B9F652340,0101000020110F00004A9D806B260A25C10A3DEFC5968D3041,9.69848,-6.19323,349.5,0.4,0.4,2017-10-17,1348,N,nominal,1.0NRT,312.3,5.6,D,1
251585,0101000020E6100000D40E7F4DD6E813C0833463D174561B40,0101000020110F00004E656DD0BEE820C1C7464CCCEF452741,6.83443,-4.97738,334.2,0.4,0.4,2017-10-18,1330,N,nominal,1.0NRT,297.9,3.2,D,1
251586,0101000020E610000045F5D6C056E913C0D55B035B25581B40,0101000020110F000087DC42E82BE920C1ED4F33C861472741,6.83608,-4.97787,334.2,0.4,0.4,2017-10-18,1330,N,nominal,1.0NRT,297.3,3.9,D,1
251602,0101000020E6100000DF89592F86720BC00ABABDA431DA2040,0101000020110F0000ADD7C411A14F17C1828B15C4A6BA2C41,8.42616,-3.43092,333.5,0.4,0.4,2017-10-18,1330,N,nominal,1.0NRT,298.7,3,D,1
251603,0101000020E610000034F44F70B1A20BC021C8410933ED2040,0101000020110F00009D8BD1018A7817C17A5A94B549DB2C41,8.46328,-3.45444,333.4,0.4,0.4,2017-10-18,1330,N,nominal,1.0NRT,297.7,3.1,D,1
251604,0101000020E6100000B1E1E995B2CC07C0F6622827DA152140,0101000020110F0000DAD731AD873614C14F0CBFB61B212D41,8.54268,-2.97495,335.8,0.4,0.4,2017-10-18,1330,N,nominal,1.0NRT,303.3,4.1,D,1
251605,0101000020E61000006FBBD05CA7F112C0E6AE25E4839E2040,0101000020110F00000F1F8BFDCF1620C101FBE7B730542C41,8.3096,-4.73599,332.2,0.4,0.4,2017-10-18,1330,N,nominal,1.0NRT,297.8,2.6,D,1
251606,0101000020E610000081CF0F23841720C0118DEE2076261F40,0101000020110F0000C7F03EA969552BC1ABACA996A9892A41,7.78756,-8.04593,341.3,0.4,0.5,2017-10-18,1330,N,nominal,1.0NRT,298.9,4.7,D,1
251609,0101000020E610000039B9DFA1285010C0B0726891EDAC2140,0101000020110F000074AA2E36A0B51BC1081E44D2B4242E41,8.83775,-4.07828,333.5,0.4,0.4,2017-10-18,1330,N,nominal,1.0NRT,302.1,2.5,D,1
251639,0101000020E61000001A51DA1B7CC118C0D5E76A2BF6672340,0101000020110F0000584D6C866D0625C199030CE29A8F3041,9.70305,-6.18895,343,0.4,0.4,2017-10-18,1330,N,nominal,1.0NRT,312,7.3,D,1
251640,0101000020E6100000685C381092C518C048C49448A2672340,0101000020110F0000E5CEC8DAE50925C1E9CCC79A528F3041,9.70241,-6.19294,347.7,0.4,0.4,2017-10-18,1330,N,nominal,1.0NRT,315,7.3,D,1
328247,0101000020E610000062A1D634EFF815C0BEC1172653A51740,0101000020110F000024A8933042A922C10807B4703C1E2441,5.91145,-5.4931,330.6,0.6,0.5,2017-10-19,1312,N,nominal,1.0NRT,287,4.5,D,1
328248,0101000020E610000041D47D0052FB15C0C05B2041F1A31740,0101000020110F000018CA46F048AB22C10ECA68450E1D2441,5.9101,-5.49543,331.6,0.6,0.5,2017-10-19,1312,N,nominal,1.0NRT,287.6,3.9,D,1
328268,0101000020E61000003A5D16139B4F04C060C8EA56CF992040,0101000020110F000066B5C3DC064011C1CB5F6EFB1C4C2C41,8.30041,-2.53887,334.3,0.5,0.4,2017-10-19,1312,N,nominal,1.0NRT,297.6,3.9,D,1
