cartodb_id,the_geom,the_geom_webmercator,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,_feature_count
46990,0101000020E610000062A1D634EFF815C0BEC1172653A51740,0101000020110F000024A8933042A922C10807B4703C1E2441,5.91145,-5.4931,330.6,0.6,0.5,2017-10-19,1312,N,nominal,1.0NRT,287,4.5,D,1
46991,0101000020E610000041D47D0052FB15C0C05B2041F1A31740,0101000020110F000018CA46F048AB22C10ECA68450E1D2441,5.9101,-5.49543,331.6,0.6,0.5,2017-10-19,1312,N,nominal,1.0NRT,287.6,3.9,D,1
47011,0101000020E61000003A5D16139B4F04C060C8EA56CF992040,0101000020110F000066B5C3DC064011C1CB5F6EFB1C4C2C41,8.30041,-2.53887,334.3,0.5,0.4,2017-10-19,1312,N,nominal,1.0NRT,297.6,3.9,D,1
68330,0101000020E6100000249C16BCE8CB14C0C8D2872EA8FF2040,0101000020110F0000F84F220299A921C1DB74B696FCFA2C41,8.49933,-5.19913,304.5,0.4,0.4,2017-10-20,0148,N,nominal,1.0NRT,292,0.6,N,1
172306,0101000020E6100000B515FBCBEEE914C012143FC6DCB51A40,0101000020110F0000BCC984C818C321C15D3FF22997BC2641,6.6776,-5.22845,331.2,0.3,0.6,2017-10-21,1412,N,nominal,1.0NRT,290,1.5,D,1
172307,0101000020E610000099D36531B1F913C04FAF946588631B40,0101000020110F00008991A9730FF720C19CEA82481F512741,6.8472,-4.99384,330.2,0.4,0.6,2017-10-21,1412,N,nominal,1.0NRT,292.3,2.7,D,1
172308,0101000020E6100000793BC269C10B16C01FBFB7E9CFBE1B40,0101000020110F0000C7F5524B3EB922C153E079C3359F2741,6.93634,-5.51148,342.6,0.3,0.6,2017-10-21,1412,N,nominal,1.0NRT,288.9,6,D,1
172314,0101000020E6100000FA27B85851E313C06C21C84109B31E40,0101000020110F00000F4641CA0EE420C179EFAD81BB262A41,7.67484,-4.97199,349.5,0.4,0.6,2017-10-21,1412,N,nominal,1.0NRT,294.1,5.5,D,1
172315,0101000020E61000005F24B4E55C4A1BC0B4C876BE9F5A1F40,0101000020110F00007E39262B852D27C13914191661B62A41,7.8385,-6.82262,342.2,0.6,0.5,2017-10-21,1412,N,nominal,1.0NRT,294.8,10.6,D,1
172316,0101000020E6100000A06CCA15DE451BC00074982F2F601F40,0101000020110F00004A668EC8B32927C1E9AE1C6D25BB2A41,7.84393,-6.81823,344.7,0.6,0.5,2017-10-21,1412,N,nominal,1.0NRT,295.1,11.2,D,1
172317,0101000020E6100000F0F96184F0481BC0CF31207BBD5B1F40,0101000020110F0000994A4BB34F2C27C18BCB4E0D56B72A41,7.83959,-6.82123,343.2,0.6,0.5,2017-10-21,1412,N,nominal,1.0NRT,295.2,8,D,1
172318,0101000020E6100000B62DCA6C90491BC0546F0D6C95601F40,0101000020110F0000E1F39882D72C27C1FA8257137DBB2A41,7.84432,-6.82184,330.6,0.6,0.5,2017-10-21,1412,N,nominal,1.0NRT,294.1,8,D,1
172320,0101000020E6100000E388B5F814401BC04B02D4D4B2B51F40,0101000020110F0000238588DFC92427C1B072DF8077042B41,7.92744,-6.81258,341.2,0.6,0.5,2017-10-21,1412,N,nominal,1.0NRT,296.2,6.8,D,1
172321,0101000020E6100000CA1AF5108DCE17C065C746205ED72040,0101000020110F0000187631A71A3824C185909665CCB52C41,8.42064,-5.95171,355.4,0.3,0.6,2017-10-21,1412,N,nominal,1.0NRT,295.2,4.9,D,1
172322,0101000020E6100000F870C971A7F41EC09EEFA7C64B872040,0101000020110F000009007344694A2AC16D696B81552C2C41,8.26425,-7.73892,333.2,0.5,0.5,2017-10-21,1412,N,nominal,1.0NRT,297.9,5,D,1
172323,0101000020E61000006397A8DE1AF81EC0BCE82B4833862040,0101000020110F00006A298D8F574D2AC1C44C570F742A2C41,8.26211,-7.74229,335.6,0.5,0.5,2017-10-21,1412,N,nominal,1.0NRT,298.2,5.7,D,1
172324,0101000020E6100000E25817B7D1A01FC082A8FB00A4A62040,0101000020110F00005AD1318FA1DC2AC1AD52068F23622C41,8.32547,-7.90705,333,0.5,0.5,2017-10-21,1412,N,nominal,1.0NRT,299.6,4.9,D,1
172329,0101000020E6100000FC1873D712B21FC09CA223B9FCE72140,0101000020110F000057A0B40649EB2AC115CE25E23E8A2E41,8.9531,-7.9239,341.3,0.5,0.5,2017-10-21,1412,N,nominal,1.0NRT,303.7,5.8,D,1
172356,0101000020E6100000B81E85EB51D818C0F0A2AF20CD682440,0101000020110F0000C154D75FD21925C1ADE4D3CF126D3141,10.20469,-6.21125,331.7,0.3,0.6,2017-10-21,1412,N,nominal,1.0NRT,298.4,3.3,D,1
194453,0101000020E6100000A60A462575E213C0C190D5AD9EB31E40,0101000020110F00005DE7F7C553E320C1AB42D68E3B272A41,7.67541,-4.97115,316.6,0.4,0.6,2017-10-22,0112,N,nominal,1.0NRT,284.8,0.9,N,1
194454,0101000020E6100000FCE3BD6A65E213C051A04FE449B21E40,0101000020110F000062CE3B6A46E320C16490DB8217262A41,7.67411,-4.97109,316.4,0.4,0.6,2017-10-22,0112,N,nominal,1.0NRT,285.4,1.1,N,1
194471,0101000020E61000005648F949B5CF12C0AC730CC85EAF1A40,0101000020110F00005F222E04F7F31FC1E5F63D000AB72641,6.67126,-4.70284,299.1,0.4,0.6,2017-10-22,0112,N,nominal,1.0NRT,274,0.6,N,1
194472,0101000020E6100000545227A089D012C0448B6CE7FBA91A40,0101000020110F000095C604B15FF51FC137135EF16EB22641,6.666,-4.70365,296.9,0.4,0.6,2017-10-22,0112,N,nominal,1.0NRT,272.6,0.4,N,1
231073,0101000020E6100000DF15C1FF563215C0486DE2E47E871740,0101000020110F00003016EE95970022C134AD2F77C4042441,5.88232,-5.29916,332.8,0.5,0.4,2017-10-22,1354,N,nominal,1.0NRT,297.2,4.9,D,1
231074,0101000020E6100000A60F5D50DF3215C07A19C5724B8B1740,0101000020110F0000FF99A15B0B0122C118B2CCD402082441,5.88603,-5.29968,333.8,0.5,0.4,2017-10-22,1354,N,nominal,1.0NRT,296.8,5.4,D,1
231075,0101000020E61000004F92AE997CD313C0D1967329AECA1840,0101000020110F0000DE6599CA9CD620C1209E38EAC7182541,6.19793,-4.95653,335.4,0.5,0.4,2017-10-22,1354,N,nominal,1.0NRT,298.7,6.2,D,1
231076,0101000020E61000000F62670A9D1717C06D904946CEA21840,0101000020110F00001728F432BC9C23C186C58FB3B7F62441,6.15899,-5.77306,332,0.5,0.4,2017-10-22,1354,N,nominal,1.0NRT,297.6,2.7,D,1
231077,0101000020E610000089EAAD81AD5213C03CA583F57FCE1940,0101000020110F00004A49AE08376920C1609C6F17CCF62541,6.45166,-4.83074,338.5,0.5,0.4,2017-10-22,1354,N,nominal,1.0NRT,297.2,5.9,D,1
231078,0101000020E61000001BD82AC1E25013C0950ED6FF39CC1940,0101000020110F000020C46A6AB16720C191861BAFDAF42541,6.44944,-4.82899,333.1,0.5,0.4,2017-10-22,1354,N,nominal,1.0NRT,296.7,3.8,D,1
231081,0101000020E6100000FA6184F068630BC0A5A0DB4B1AE31B40,0101000020110F00006DC604EBCA4217C12F7E6E9042BE2741,6.97178,-3.42354,333.2,0.4,0.5,2017-10-22,1354,N,nominal,1.0NRT,297.3,5.1,D,1
231083,0101000020E610000016C1FF56B22313C091ED7C3F355E1B40,0101000020110F0000D6CE805B504120C140D61140914C2741,6.842,-4.78486,333.9,0.5,0.4,2017-10-22,1354,N,nominal,1.0NRT,294.1,5.2,D,1
231084,0101000020E61000000EF8FC3042B813C078B988EFC44C1B40,0101000020110F0000B65F25D27CBF20C153C3C394A63D2741,6.82497,-4.92994,340.1,0.5,0.4,2017-10-22,1354,N,nominal,1.0NRT,296.9,5.5,D,1
231085,0101000020E6100000D36A48DC636914C0B493C151F24A1B40,0101000020110F0000F76E73E9EC5521C190B3C874173C2741,6.82319,-5.10292,344.9,0.5,0.4,2017-10-22,1354,N,nominal,1.0NRT,299,9.7,D,1
231086,0101000020E6100000179F02603CE313C018096D3997621B40,0101000020110F00004ACF9BFAFCE320C1DA46F3FB50502741,6.84628,-4.97191,338.3,0.5,0.4,2017-10-22,1354,N,nominal,1.0NRT,297.1,5.3,D,1
231087,0101000020E61000006EFAB31F29E213C0DBA2CC0699641B40,0101000020110F0000F818403513E320C1393FCA7D08522741,6.84824,-4.97086,336.4,0.5,0.4,2017-10-22,1354,N,nominal,1.0NRT,295.7,6.2,D,1
231088,0101000020E610000011DF89592FE620C05AF5B9DA8A7D1A40,0101000020110F0000C420D3E275B42CC1ED9716136F8C2641,6.6226,-8.44958,326.6,0.4,0.4,2017-10-22,1354,N,nominal,1.0NRT,295.9,1.8,D,1
231123,0101000020E6100000833463D174561BC050AA7D3A1E531F40,0101000020110F00009DD0F088CA3727C16D24DCC3F1AF2A41,7.83117,-6.83443,335.3,0.4,0.4,2017-10-22,1354,N,nominal,1.0NRT,296.1,1.9,D,1
231127,0101000020E610000025E99AC937BB1CC0B1A71DFE9A6C1F40,0101000020110F00003D94C3F4C96628C138B67295CBC52A41,7.85606,-7.18283,338.3,0.4,0.4,2017-10-22,1354,N,nominal,1.0NRT,293.7,4.4,D,1
231132,0101000020E610000014AE47E17AB41EC09487855AD34C2040,0101000020110F0000AACF7E7BE8132AC195FB010AFDC72B41,8.15005,-7.67625,339.4,0.4,0.4,2017-10-22,1354,N,nominal,1.0NRT,289.7,4.4,D,1
231138,0101000020E61000004BEA043411561CC010E9B7AF03672140,0101000020110F0000122D71ADE11028C184C77EDB8BAC2D41,8.7012,-7.08405,337.7,0.4,0.4,2017-10-22,1354,N,nominal,1.0NRT,298.4,4.4,D,1
231141,0101000020E61000008FE4F21FD26F10C0AD69DE718A4E2240,0101000020110F0000062BCE3468EB1BC13924140AA43A2F41,9.1534,-4.1092,334.3,0.4,0.5,2017-10-22,1354,N,nominal,1.0NRT,299.3,2.1,D,1
231150,0101000020E61000002B6A300DC3271EC086200725CCA42140,0101000020110F0000EA66FD6E659C29C1F7F247E9BA162E41,8.82187,-7.53883,337.2,0.4,0.4,2017-10-22,1354,N,nominal,1.0NRT,299.9,5.3,D,1
231167,0101000020E610000029CB10C7BA1810C01092054CE0362340,0101000020110F00001ECEC45079571BC15ACE0A5751653041,9.60718,-4.02415,344,0.4,0.5,2017-10-22,1354,N,nominal,1.0NRT,302.4,6.5,D,1
231199,0101000020E610000057091687335F1FC0E197FA7953812340,0101000020110F0000655479DAE6A42AC1F9B1F21976A53041,9.75259,-7.84297,338.9,0.4,0.4,2017-10-22,1354,N,nominal,1.0NRT,298,5.4,D,1
231201,0101000020E6100000325A475513E41FC0B610E4A084992340,0101000020110F0000D494D77CC0152BC12B8A37744FBA3041,9.79984,-7.97273,336.9,0.4,0.4,2017-10-22,1354,N,nominal,1.0NRT,298.4,3.3,D,1
231226,0101000020E61000000B293FA9F6091FC0EFE192E34ED92340,0101000020110F000016447462825C2AC19A8ECDC64CF13041,9.92443,-7.75973,334.7,0.4,0.4,2017-10-22,1354,N,nominal,1.0NRT,300.5,4,D,1
293790,0101000020E610000069520ABABDA40CC09335EA211ABD1440,0101000020110F00003574CC07B35318C1136AD03230A32141,5.18467,-3.58044,335.4,0.4,0.4,2017-10-23,1336,N,nominal,1.0NRT,294.4,5.5,D,1
293791,0101000020E6100000B2D7BB3FDEAB0CC0CD3B4ED191BC1440,0101000020110F0000ADCD0799C05918C1631F5EF3BBA22141,5.18415,-3.58392,335.6,0.4,0.4,2017-10-23,1336,N,nominal,1.0NRT,291,5.5,D,1
293793,0101000020E6100000C05B2041F1230EC0C2120F289B121540,0101000020110F000044A77AFD269919C1A560CD2A1CEC2141,5.26817,-3.76755,331.8,0.4,0.4,2017-10-23,1336,N,nominal,1.0NRT,294.5,6.3,D,1
293794,0101000020E610000087F9F202EC230FC01EFE9AAC512F1540,0101000020110F0000FE9963488E721AC1EA31989699042241,5.29621,-3.89254,333.9,0.4,0.4,2017-10-23,1336,N,nominal,1.0NRT,296.9,2.9,D,1
293795,0101000020E610000021B07268918D12C0ADFA5C6DC5BE1440,0101000020110F0000A07E3F839E831FC1AB4164979CA42141,5.1863,-4.63825,341.5,0.4,0.4,2017-10-23,1336,N,nominal,1.0NRT,299,10.7,D,1
293796,0101000020E6100000F8889812493414C0D50451F701A81440,0101000020110F0000AD89B5DAD22821C194BF9D1133912141,5.16407,-5.05106,342.9,0.4,0.4,2017-10-23,1336,N,nominal,1.0NRT,295.2,4.8,D,1
293798,0101000020E61000001BD82AC1E29010C05A2A6F4738ED1540,0101000020110F000031CE503B92231CC14B0A454E99A62241,5.48166,-4.14149,335.1,0.4,0.4,2017-10-23,1336,N,nominal,1.0NRT,294.8,3.9,D,1
